date,headline,headline_band,dominant_pillar,market,fiscal,labour,delivery
2026-02-26,61.90,steady,market,64.90,63.30,64.90,29.60
2026-02-27,61.60,steady,market,64.20,63.30,64.90,29.60
2026-02-28,60.70,steady,market,61.70,63.30,65.80,29.60
2026-03-01,60.80,steady,market,61.70,63.30,66.20,29.60
2026-03-02,59.50,strained,market,58.40,63.30,66.20,29.60
2026-03-03,56.20,strained,market,47.00,65.60,66.20,29.60
2026-03-04,58.10,strained,market,52.40,65.60,66.20,29.60
2026-03-05,55.10,strained,market,43.50,65.60,66.20,29.60
2026-03-06,52.90,strained,market,36.40,65.60,66.20,29.60
2026-03-07,52.90,strained,market,36.40,65.60,66.20,29.60
2026-03-08,52.90,strained,market,36.40,65.60,66.20,29.60
2026-03-09,54.10,strained,market,40.20,65.60,66.20,29.60
2026-03-10,56.10,strained,market,46.70,65.60,66.20,29.60
2026-03-11,53.20,strained,market,37.20,65.60,66.20,29.60
2026-03-12,52.30,strained,market,34.30,65.60,66.20,29.60
2026-03-13,51.20,strained,market,30.40,65.60,66.20,29.60
2026-03-14,51.20,strained,market,30.40,65.60,66.20,29.60
2026-03-15,51.20,strained,market,30.40,65.60,66.20,29.60
2026-03-16,52.00,strained,market,33.10,65.60,66.20,29.60
2026-03-17,53.20,strained,market,37.30,65.60,66.20,29.60
2026-03-18,52.60,strained,market,35.40,65.60,66.20,29.60
2026-03-19,52.40,strained,market,33.00,65.60,68.00,29.60
2026-03-20,48.20,strained,market,26.00,59.90,68.00,29.60
2026-03-21,48.20,strained,market,26.00,59.90,68.00,29.60
2026-03-22,48.20,strained,market,26.00,59.90,68.00,29.60
2026-03-23,48.90,strained,market,28.60,59.90,68.00,29.60
2026-03-24,48.80,strained,market,28.30,59.90,68.00,29.60
2026-03-25,50.00,strained,market,32.30,59.90,68.00,29.60
2026-03-26,37.40,acute,market,29.60,19.70,68.00,29.60
2026-03-27,36.20,acute,market,26.10,19.70,68.00,29.60
2026-03-28,36.20,acute,market,26.10,19.70,68.00,29.60
2026-03-29,36.20,acute,market,26.10,19.70,68.00,29.60
2026-03-30,36.10,acute,market,25.80,19.70,68.00,29.60
2026-03-31,39.80,acute,market,21.00,19.70,68.20,69.20
2026-04-01,37.10,acute,market,24.80,19.70,56.40,69.20
2026-04-02,36.70,acute,market,23.50,19.70,56.40,69.20
2026-04-03,36.70,acute,market,23.50,19.70,56.40,69.20
2026-04-04,36.70,acute,market,23.50,19.70,56.40,69.20
2026-04-05,36.70,acute,market,23.50,19.70,56.40,69.20
2026-04-06,36.70,acute,market,23.50,19.70,56.40,69.20
2026-04-07,36.00,acute,market,21.50,19.70,56.40,69.20
2026-04-08,40.20,strained,market,33.70,19.70,56.40,69.20
2026-04-09,38.70,acute,market,29.50,19.70,56.40,69.20
2026-04-10,40.90,strained,market,29.50,19.70,63.80,69.20
2026-04-11,40.90,strained,market,29.50,19.70,63.80,69.20
2026-04-12,40.90,strained,market,29.50,19.70,63.80,69.20
2026-04-13,40.70,strained,market,28.70,19.70,63.80,69.20
2026-04-14,42.30,strained,market,33.60,19.70,63.80,69.20
2026-04-15,42.10,strained,market,33.00,19.70,63.80,69.20
2026-04-16,41.00,strained,market,29.80,19.70,63.80,69.20
2026-04-17,42.50,strained,market,34.10,19.70,63.80,69.20
2026-04-18,42.50,strained,market,34.10,19.70,63.80,69.20
2026-04-19,42.50,strained,market,34.10,19.70,63.80,69.20
2026-04-20,37.10,acute,market,30.30,19.70,49.20,69.20
2026-04-21,36.10,acute,market,27.60,19.70,49.20,69.20
2026-04-22,43.30,strained,market,28.60,45.00,49.20,69.20
2026-04-23,43.10,strained,market,28.00,45.00,49.20,69.20
2026-04-24,42.90,strained,market,27.40,45.00,49.20,69.20
2026-04-25,42.90,strained,market,27.40,45.00,49.20,69.20
2026-04-26,42.90,strained,market,27.40,45.00,49.20,69.20
2026-04-27,49.40,strained,market,29.10,72.10,42.00,40.80
2026-04-28,45.60,strained,market,30.90,72.10,52.90,40.80
2026-04-29,44.70,strained,market,29.40,72.10,52.90,40.80
